MsgId,CmdCode,TimeRadians,MsgLength,ApId,FlowLengthInWindow,SlidingWindowMeanIntervalSec,SlidingWindowMaxIntervalSec,SlidingWindowMinIntervalSec,MessageCountInWindow,UniqueMessageIDsInWindow,AverageMessageLengthInWindow,MessageRateInWindow,StdDevMessageLengthInWindow,MemoryAnonMB,MemoryFileMB,MemoryKernelstackMB,MemoryPageTableMB,MemorySocketMB,MemoryPercpuMB,MemoryShmemMB,MemorySlabUnreclaimableMB,Label
6323.0,0.0,1.682673,8.0,179.0,1.715681,30.013085640817184,30.013085640817184,1.715681,2.0,2.0,8.0,0.1,0.0,5.55078125,4.5390625,0.78125,0.296875,0.0234375,0.000514984,1.25390625,0.727630615,3.0
6323.0,1.0,1.682717,12.0,179.0,15.884277892937796,7.942135529203211,11.725875623357567,4.15840226958023,3.0,2.0,61.51078237167521,1.0251797061945869,13.053954925544405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
6276.0,0.0,1.682747,8.0,132.0,3.0635835949530343,7.161091771184779,20.57631423753152,0.3095581105142085,4.0,3.0,7.369632614379972,0.2,1.861072548087925,5.694260884449976,4.532496303429393,0.7807475771329438,0.29507513916356415,0.02359043693030638,0.0005170502545071859,1.2093150080155668,0.7333448769405669,3.0
6277.0,4.0,1.682777,8.0,133.0,3.145189,0.786297,1.715681,0.410261,5.0,4.0,8.0,0.25,1.79,5.55859375,4.546875,0.78125,0.296875,0.0234375,0.000514984,1.25390625,0.735267639,3.0
6298.0,0.0,1.682807,8.0,154.0,3.558012,4.915462365259477,22.734982826297383,0.410261,6.0,5.0,8.0,0.3,1.63,5.55859375,4.546875,0.78125,0.296875,0.0234375,0.000514984,1.25390625,0.726402283,3.0
6318.0,0.0,1.682837,8.0,174.0,3.968878,0.66148,1.715681,0.410261,7.0,6.0,8.0,0.35,1.51,5.55859375,4.546875,0.78125,0.296875,0.02734375,0.000514984,1.25390625,0.728408814,3.0
6308.0,0.0,1.682866,8.0,164.0,4.377754,0.625393,1.715681,0.408876,8.0,7.0,8.0,0.4,1.41,5.5625,4.546875,0.78125,0.296875,0.0234375,0.000514984,1.25390625,0.728942871,3.0
6318.0,1.0,1.682896,8.0,174.0,4.789406,3.0495221511360144,21.322450209088114,0.408876,9.0,7.0,8.0,0.45,1.33,5.5625,4.546875,0.78125,0.296875,0.03515625,0.000514984,1.25390625,0.728538513,3.0
6308.0,1.0,1.682919,8.0,164.0,5.098171,2.9234121315536523,22.92822318398287,0.308765,10.0,7.0,8.0,0.5,1.26,5.5625,4.546875,0.78125,0.296875,0.0234375,0.000514984,1.25390625,0.729576111,3.0
6331.0,0.0,1.682948,8.0,187.0,47.25057073458878,4.4904304989509845,15.11545439507277,1.268209223392507,11.0,8.0,55.585173514979694,5.313434812760989,14.04811590827346,48.36827402481613,39.98651435859988,6.815376940871333,2.550919980188144,0.20869462273128675,0.004484966264809436,10.374005938712957,6.33506517595332,3.0
6150.0,0.0,1.682978,8.0,6.0,5.918158,3.0821783107620093,29.701488418382105,0.308765,12.0,9.0,8.0,0.6,1.15,5.55859375,4.546875,0.78125,0.29296875,0.0234375,0.000514984,1.25390625,0.727249146,3.0
6145.0,0.0,1.683008,8.0,1.0,25.67262804513448,3.3491439091896695,21.47777288294736,1.252684795348685,13.0,10.0,32.456652673682186,0.65,4.503360558473403,22.535820362293002,18.447042828206087,3.1695949876642757,1.204446095312425,0.11093582456824966,0.0020893321025629435,5.087199955201163,2.927263354386157,3.0
6284.0,0.0,1.68303,8.0,140.0,5.98509781938233,0.42810074769103557,1.6634384044491786,0.21928625176239555,14.0,11.0,7.604620071381845,0.7825523919639016,1.336200715666982,5.3767279826031995,4.5029094774269645,0.7815149895989254,0.2966791847971248,0.02743477147115705,0.0005152279114409622,1.1434784430226947,0.7323236280537032,3.0
6288.0,0.0,1.68306,8.0,144.0,7.045271,0.503234,1.715681,0.308234,15.0,12.0,8.0,0.75,1.03,5.5546875,4.546875,0.78125,0.296875,0.0234375,0.000514984,1.25390625,0.726142883,3.0
6280.0,0.0,1.68309,8.0,136.0,34.60370506245555,2.3069152179046815,7.962858003878736,1.4305827097039359,16.0,13.0,37.12978346850603,3.712978346850603,4.641222933563253,25.798672790861364,21.103060526045418,3.6259554168462915,1.3778630584015907,0.10877866250538876,0.0023901555512181386,5.819658444038298,3.3721385376670514,3.0
6147.0,0.0,1.68312,8.0,3.0,7.861512,0.491345,1.715681,0.308234,17.0,14.0,8.0,0.85,0.97,5.55859375,4.546875,0.78125,0.296875,0.0234375,0.000514984,1.25390625,0.729629517,3.0
6313.0,0.0,1.683149,8.0,169.0,8.269287,0.486429,1.715681,0.308234,18.0,15.0,8.0,0.9,0.94,5.55859375,4.546875,0.78125,0.30078125,0.0234375,0.000514984,1.25390625,0.73009491,3.0
6293.0,0.0,1.683172,8.0,149.0,8.579419,0.476634,1.715681,0.308234,19.0,16.0,8.0,0.95,0.92,5.55859375,4.546875,0.78125,0.30078125,0.0234375,0.000514984,1.25390625,0.72959137,3.0
